Kun,Slot,Sana,Hafta kuni,Kategoriya,Mavzu,Daraja,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,CTA taklifi
6,0,6-Yanvar,Seshanba,Tarjima Mashqi,1) Опаларинг қаерда ишлашади?  2) Дўстим институтда ўқийди.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
6,1,6-Yanvar,Seshanba,Kitaba Shabloni,Qarama-qarshi fikr: على العكس / بالرغم من (aksincha),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
7,0,7-Yanvar,Chorshanba,Imtihon Strategiyasi,"Istima': kalit so'zlarni (sana, ism, joy) oldindan belgilash",A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
7,1,7-Yanvar,Chorshanba,Fusha-Ammiya,Nima: ماذا (Fusha) / إيه (Misr) / شو (Shom) / وش (Xalij),A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
8,0,8-Yanvar,Payshanba,Kino-Qoshiq Tahlili,Seriallardagi oddiy kundalik fe'llarni ajratib olish mashqi,A1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
8,1,8-Yanvar,Payshanba,Kunlik Ibora,ما شاء الله — hayrat/duo ifodasi,A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
9,0,9-Yanvar,Juma,Sinonim-Antonim,سريع (tez) — sinonim: عاجل / antonim: بطيء (sekin),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
9,1,9-Yanvar,Juma,Tarjima Mashqi,1) Мен заводда ишлайман.  2) Сен ҳозир нима қилаяпсан?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
10,0,10-Yanvar,Shanba,Kitaba Shabloni,Xulosa qilish: وختامًا / في النهاية (xulosa qilib aytganda),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
10,1,10-Yanvar,Shanba,Imtihon Strategiyasi,Qiraa (o'qish): skimming va scanning farqi,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
11,0,11-Yanvar,Yakshanba,Fusha-Ammiya,Qanday: كيف (Fusha) / إزاي (Misr) / كيف (Shom) / كيف (Xalij),A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
11,1,11-Yanvar,Yakshanba,Kino-Qoshiq Tahlili,Multfilm qahramonlari his-tuyg'usini ifodalovchi so'zlar,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
12,0,12-Yanvar,Dushanba,Kunlik Ibora,بارك الله فيك — Alloh baraka bersin (minnatdorlik),A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
12,1,12-Yanvar,Dushanba,Sinonim-Antonim,جميل (chiroyli) — sinonim: رائع (ajoyib) / antonim: قبيح (xunuk),A2,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
13,0,13-Yanvar,Seshanba,Tarjima Mashqi,1) Китобинг стол устидадир.  2) Дафтарларинг сумкангдадир.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
13,1,13-Yanvar,Seshanba,Kitaba Shabloni,Sabab bildirish: بسبب / نظرًا لـ (sababli),A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
14,0,14-Yanvar,Chorshanba,Imtihon Strategiyasi,Qiraa: notanish so'zni kontekstdan taxmin qilish,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
14,1,14-Yanvar,Chorshanba,Fusha-Ammiya,Bugun: اليوم (Fusha) / النهارده (Misr) / اليوم (Shom) / اليوم (Xalij),A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
15,0,15-Yanvar,Payshanba,Kino-Qoshiq Tahlili,Qo'shiqda 'sevgi/sog'inch' mavzusida keng qo'llanadigan so'zlar,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
15,1,15-Yanvar,Payshanba,Kunlik Ibora,"مع السلامة — xayr, omon boring",A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
16,0,16-Yanvar,Juma,Sinonim-Antonim,قوي (kuchli) — sinonim: شديد / antonim: ضعيف (kuchsiz),A2,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
16,1,16-Yanvar,Juma,Tarjima Mashqi,1) Мен ва акам инглиз тилини ўрганаяпмиз.  2) Анварнинг дўсти хат ёзаяпти.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
17,0,17-Yanvar,Shanba,Kitaba Shabloni,Natija bildirish: لذلك / نتيجة لذلك (shuning uchun),A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
17,1,17-Yanvar,Shanba,Imtihon Strategiyasi,Kitaba: vaqtni reja/yozish/tekshirish qismlariga bo'lish,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
18,0,18-Yanvar,Yakshanba,Fusha-Ammiya,Yaxshi: جيد (Fusha) / كويس (Misr) / منيح (Shom) / زين (Xalij),A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
18,1,18-Yanvar,Yakshanba,Kino-Qoshiq Tahlili,Film dialogidagi savol-javob ritmini kuzatish,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
19,0,19-Yanvar,Dushanba,Kunlik Ibora,بكل سرور — katta xursandchilik bilan (rozilik),A2,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
19,1,19-Yanvar,Dushanba,Sinonim-Antonim,الصبر مفتاح الفرج — sabr najot kaliti (maqol),B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
20,0,20-Yanvar,Seshanba,Tarjima Mashqi,1) Машинам кўчада турибди.  2) Дўстларим кеча мени кўргани келишди.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
20,1,20-Yanvar,Seshanba,Kitaba Shabloni,Qo'shimcha fikr: بالإضافة إلى ذلك (bundan tashqari),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
21,0,21-Yanvar,Chorshanba,Imtihon Strategiyasi,Kitaba: so'z sonini nazorat qilish (kam/ko'p emas),A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
21,1,21-Yanvar,Chorshanba,Fusha-Ammiya,Yo'q: لا (Fusha) / لأ (Misr) / لا (Shom) / لا (Xalij) — ohang farqi,A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
22,0,22-Yanvar,Payshanba,Kino-Qoshiq Tahlili,Ammiya bilan Fusha subtitr farqini solishtirish mashqi,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
22,1,22-Yanvar,Payshanba,Kunlik Ibora,لا بأس — hechqisi yo'q / zarari yo'q,A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
23,0,23-Yanvar,Juma,Sinonim-Antonim,قريب (yaqin) — sinonim: مجاور / antonim: بعيد (uzoq),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
23,1,23-Yanvar,Juma,Tarjima Mashqi,1) Бахтиёр ва Нодир телевизор кўришаяпти.  2) Синглинг институтга кирдими?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
24,0,24-Yanvar,Shanba,Kitaba Shabloni,Misol keltirish: على سبيل المثال (masalan),A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
24,1,24-Yanvar,Shanba,Imtihon Strategiyasi,Muhadasa: pauza va to'ldiruvchi iboralar (يعني، بصراحة),B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
25,0,25-Yanvar,Yakshanba,Fusha-Ammiya,Ko'p: كثير (Fusha) / كتير (Misr/Shom) / وايد (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
25,1,25-Yanvar,Yakshanba,Kino-Qoshiq Tahlili,Bolalar multfilmidagi son va rang so'zlarini mustahkamlash,A1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
26,0,26-Yanvar,Dushanba,Kunlik Ibora,"على كل حال — har holda, baribir",B1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
26,1,26-Yanvar,Dushanba,Sinonim-Antonim,جديد (yangi) — sinonim: حديث / antonim: قديم (eski),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
27,0,27-Yanvar,Seshanba,Tarjima Mashqi,1) Менинг исмим Боб.  2) Ёшим 15да. Инглизман.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),08:00,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Tarjimangizni izohda yozing — men tekshirib, xato bo'lsa tuzataman."
27,1,27-Yanvar,Seshanba,Kitaba Shabloni,Solishtirish: مقارنة بـ / بينما (solishtirganda),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Akademik arab tili qo'llanmalari,19:30,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Shu bog'lovchini o'zingizning gapingizda ishlating.
28,0,28-Yanvar,Chorshanba,Imtihon Strategiyasi,Muhadasa: savolni tushunmasangiz qayta so'rash iborasi,A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Til imtihonlari metodikasi,08:00,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Shu strategiyani keyingi mashqda sinab ko'ring.
28,1,28-Yanvar,Chorshanba,Fusha-Ammiya,Bola: ولد (Fusha) / واد (Misr) / صبي (Shom) / ولد (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Misr/Shom/Xalij tabiiy nutq namunalari,19:30,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Shu so'zni o'z lahjangizda (bilsangiz) qanday aytilishini ulashing.
29,0,29-Yanvar,Payshanba,Kino-Qoshiq Tahlili,Qo'shiqdagi metafora va majoziy iboralarni tanish,B1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Til o'rganish metodikasi,08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu iborani eshitgan joyingizni eslaysizmi? Yozing.
29,1,29-Yanvar,Payshanba,Kunlik Ibora,من فضلك — iltimos (rasmiy so'rov),A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Tabiiy muloqot namunalari,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan","Ovozli xabar tashlab, shu iborani 3 marta talaffuz qiling."
30,0,30-Yanvar,Juma,Sinonim-Antonim,"العلم نور والجهل ظلام — ilm nur, jaholat zulmat (maqol)",B1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Arab maqollari to'plamlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Qaysi so'zni ko'proq eshitgansiz? Izohda ayting.
30,1,30-Yanvar,Juma,Tarjima Mashqi,1) Мен Ливерпулданман.  2) Талабаман.,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)",Shu gapni ovozli xabar qilib arabcha o'qib bering.
31,0,31-Yanvar,Shanba,Kitaba Shabloni,Rasmiy xat kirish qismi qolipi,A2,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,Bog'lovchi so'zlar to'plami,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda",Bugungi mavzuda mini-insho yozing va izohga tashlang.
31,1,31-Yanvar,Shanba,Imtihon Strategiyasi,Eng ko'p uchraydigan grammatik xato: fe'l-egalik moslashuvi,B1,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,Tajribali metodistlar tavsiyasi,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda",Ushbu maslahatni saqlab qo'ying — imtihon oldidan qayta o'qing.
32,0,1-Fevral,Yakshanba,Fusha-Ammiya,"Uy: بيت (barcha lahjalarda umumiy, talaffuz farqi)",A1,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Tilshunoslik manbalari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi lahja sizga eng qiziq tuyuladi? Izohda ayting.
