Kun,Sana,Hafta,Oy mavzusi,Haftalik mavzu,Chorak maqsadi,Kategoriya,Mavzu,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,Daraja,O'qish vaqti,CTA taklifi
11,11-Yanvar,2,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Chuqurlashish,Q1,Marketing Box,Cialdini — ta'sirning 6 tamoyili,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Cialdini — Influence,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun taklifingni mijoz ehtiyoji tilida qayta yoz.
12,12-Yanvar,2,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Chuqurlashish,Q1,Arabic Box,الحمد لله (alhamdulillah) — ma'no va qo'llanish,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Ishonchli arab lug'atlari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Bugun shu so'zni ovoz chiqarib 3 marta takrorla.
13,13-Yanvar,2,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Chuqurlashish,Q1,Mental Models,Inversion — teskaridan o'ylash,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Farnam Street,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugungi bitta qarorni shu model orqali ko'rib chiq.
14,14-Yanvar,2,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Chuqurlashish,Q1,Communication Box,Faol tinglash (active listening),"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Communication tadqiqotlari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,"Bugungi suhbatda kamroq gapir, ko'proq tingla."
15,15-Yanvar,3,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Amaliyot,Q1,AI Box,LLM qanday 'o'ylaydi' (token bashorat),"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Rasmiy model hujjatlari (Anthropic/OpenAI/Google),08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun bitta takroriy ishni AI'ga top va vaqtingni o'lcha.
16,16-Yanvar,3,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Amaliyot,Q1,Leadership Box,Xizmatkor liderlik (servant leadership),Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Leadership tadqiqotlari + HBR,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun jamoangdagi bir kishini chin ko'ngildan maqta.
17,17-Yanvar,3,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Amaliyot,Q1,History Box,Ibn Sino va 'Tib qonunlari',Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Akademik tarix + birlamchi manbalar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Bugun shu saboqni o'z hayotingga qanday bog'laysan?
18,18-Yanvar,3,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Amaliyot,Q1,Critical Thinking,Ad hominem mantiqiy xatosi,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Mantiq / critical thinking darsliklari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bir fikringga 'qaerdan bilaman?' deb savol ber.
19,19-Yanvar,3,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Amaliyot,Q1,Technology Box,Bulutli texnologiya (cloud) nima,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Rasmiy mahsulot hujjatlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun shu vositani 10 daqiqa sinab ko'r.
20,20-Yanvar,3,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Amaliyot,Q1,Success Stories,Walt Disney — 300+ rad javobdan imperiyagacha,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Tekshirilgan biografiyalar,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Shu hikoyadan bitta saboq olib bugun qo'lla.
21,21-Yanvar,3,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Amaliyot,Q1,Decision Making,10/10/10 qoidasi,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Kahneman,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugungi qarorni 'eng yomon holatda nima bo'ladi?' bilan ko'r.
22,22-Yanvar,4,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mahorat,Q1,Life Lessons,Nazorat doirasi (Stoik tamoyil),Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Stoik falsafa,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun shu fikr bilan bir lahza to'xtab o'yla.
23,23-Yanvar,4,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mahorat,Q1,Book Box,Deep Work — chuqur ish nega noyob qadriyat,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Universitet konspektlari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Ushbu kitobni o'qiganmisiz? Asosiy saboqni izohda yozing.
24,24-Yanvar,4,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mahorat,Q1,Habits,Identity-based odatlar (kim bo'lishni istaysan),"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",Charles Duhigg,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Ertangi kun uchun bitta kichik odat belgila.
25,25-Yanvar,4,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mahorat,Q1,Money Box,50/30/20 byudjet qoidasi,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Bogle / indeks asoslari,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Daromadingning 1 foizini bugun chetga qo'y.
26,26-Yanvar,4,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mahorat,Q1,English Box,'On the same page' — bir fikrda bo'lmoq,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Merriam-Webster,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Eslab qolish uchun o'zing bitta gap tuz.
27,27-Yanvar,4,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mahorat,Q1,Mind Box,Dunning-Kruger effekti,"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Tekshirilgan psixologiya tadqiqotlari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Keyingi safar buni o'zingda kuzat.
28,28-Yanvar,4,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mahorat,Q1,Productivity,Eisenhower matritsasi,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Ali Abdaal,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Telefoningni 1 soat boshqa xonaga qo'y va ishla.
29,29-Yanvar,5,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mustahkamlash,Q1,Islamic Wisdom,Sabr — kuch belgisi,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",E'tirof etilgan ulamolar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun bir kishiga chin ko'ngildan yaxshilik qil.
30,30-Yanvar,5,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mustahkamlash,Q1,Business Box,MVP — minimal hayotiy mahsulot,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Asoschilar memuarlari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Ushbu modelni o'z loyihangga moslab ko'r.
31,31-Yanvar,5,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Mustahkamlash,Q1,Interesting Facts,Miya taxminan 20 vatt energiya sarflaydi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Universitet/ensiklopediya,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Bugun shu faktni bir kishiga aytib ber.
32,1-Fevral,5,Ong va odatlar,Ong va odatlar · Asoslar,Q1,Marketing Box,AIDA modeli,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Ogilvy / Seth Godin,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Sarlavhangni 3 xil variantda sinab ko'r.
33,2-Fevral,5,Ong va odatlar,Ong va odatlar · Asoslar,Q1,Arabic Box,إن شاء الله (inshaAllah) — agar Alloh xohlasa,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Klassik/MSA manbalari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu iborani bilganmidingiz? Izohda yozing.
34,3-Fevral,5,Ong va odatlar,Ong va odatlar · Asoslar,Q1,Mental Models,Opportunity cost — imkoniyat narxi,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Munger — latticework,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Shu modelni qaysi muammoga qo'llaysan?
35,4-Fevral,5,Ong va odatlar,Ong va odatlar · Asoslar,Q1,Communication Box,'Men' tilida gapirish,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Chris Voss (negotiation),08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Bugun bir kishini gapini bo'lmasdan oxirigacha eshit.
36,5-Fevral,6,Ong va odatlar,Ong va odatlar · Asoslar,Q1,AI Box,Yaxshi prompt yozish asoslari,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",E'tiborli AI tadqiqotlari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Shu promptni bugun o'zingda sinab ko'r.
37,6-Fevral,6,Ong va odatlar,Ong va odatlar · Asoslar,Q1,Leadership Box,Misol orqali yetaklash,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Tasdiqlangan liderlik hikoyalari,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bitta qarorni jamoang bilan maslahatlash.
38,7-Fevral,6,Ong va odatlar,Ong va odatlar · Asoslar,Q1,History Box,Al-Xorazmiy va 'algoritm' so'zining tug'ilishi,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Universitet/muzey materiallari,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Tarix takrorlanmasligi uchun bugun nima qilasan?
39,8-Fevral,6,Ong va odatlar,Ong va odatlar · Chuqurlashish,Q1,Critical Thinking,Strawman — qo'g'irchoq dalil,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Kognitiv fan,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Keyingi xabarni o'qiganda manbasini so'ra.
40,9-Fevral,6,Ong va odatlar,Ong va odatlar · Chuqurlashish,Q1,Technology Box,API nima — sodda tilda,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Nufuzli texno-jurnalistika,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Keyingi 6 oyda o'rganmoqchi bo'lgan ko'nikmani yoz.
41,10-Fevral,6,Ong va odatlar,Ong va odatlar · Chuqurlashish,Q1,Success Stories,J.K. Rowling — 12 marta rad etilgani,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Rasmiy intervyular,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Sen qaysi qadamdan boshlaysan?
42,11-Fevral,6,Ong va odatlar,Ong va odatlar · Chuqurlashish,Q1,Decision Making,Pre-mortem — eng yomon holatni oldindan ko'rish,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Annie Duke — Thinking in Bets,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Qaroringni 10/10/10 qoidasi bilan sinab ko'r.
43,12-Fevral,7,Ong va odatlar,Ong va odatlar · Chuqurlashish,Q1,Life Lessons,Memento mori — vaqtni qadrlash,Hayotni yaxshiroq yashashga yordam beradigan asosli donolik beradi.,Hikmat adabiyoti,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun bir kishidan kechirim so'ra yoki rahmat ayt.
44,13-Fevral,7,Ong va odatlar,Ong va odatlar · Chuqurlashish,Q1,Book Box,"Thinking, Fast and Slow — ikki tizimli tafakkur",Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Blinkist (tekshirilgan),07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Shu fikrni bugun bir amalga aylantir.
45,14-Fevral,7,Ong va odatlar,Ong va odatlar · Chuqurlashish,Q1,Habits,2 daqiqa qoidasi,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",BJ Fogg (Stanford),07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Shu odatni mavjud odatingga ulab qo'y.
46,15-Fevral,7,Ong va odatlar,Ong va odatlar · Amaliyot,Q1,Money Box,Favqulodda jamg'arma (emergency fund),Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,Markaziy bank moliyaviy savod,07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bu oygi bitta moliyaviy maqsadingni yozib qo'y.
47,16-Fevral,7,Ong va odatlar,Ong va odatlar · Amaliyot,Q1,English Box,'Break the ice' — muzni sindirmoq,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Ishonchli ESL manbalari,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Shu so'zni bugun ovoz chiqarib mashq qil.
48,17-Fevral,7,Ong va odatlar,Ong va odatlar · Amaliyot,Q1,Mind Box,Zeigarnik effekti (tugallanmagan ish),"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Universitet psix. manbalari,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun bitta qaroringda bu xatoga e'tibor ber.
49,18-Fevral,7,Ong va odatlar,Ong va odatlar · Amaliyot,Q1,Productivity,Pomodoro texnikasi,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,GTD (David Allen),07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun ertaga uchun 3 ta MIT (eng muhim ish) yoz.
50,19-Fevral,8,Ong va odatlar,Ong va odatlar · Amaliyot,Q1,Islamic Wisdom,Shukr — qanoat manbai,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Klassik asarlar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu fazilatni bitta ishda ko'rsat.
51,20-Fevral,8,Ong va odatlar,Ong va odatlar · Amaliyot,Q1,Business Box,Unit economics asoslari,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Rasmiy kompaniya case-study'lari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun bitta gipotezangni kichik test bilan tekshir.
52,21-Fevral,8,Ong va odatlar,Ong va odatlar · Amaliyot,Q1,Interesting Facts,Yorug'lik Quyoshdan 8 daqiqada keladi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Birlamchi tadqiqot,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Shu hodisa ortidagi sababni o'ylab ko'r.
53,22-Fevral,8,Ong va odatlar,Ong va odatlar · Mahorat,Q1,Marketing Box,Pozitsiyalash (positioning),Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Rasmiy brend case-study'lari,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Bugun bitta mijozdan 'nega tanladingiz?' deb so'ra.
54,23-Fevral,8,Ong va odatlar,Ong va odatlar · Mahorat,Q1,Arabic Box,بارك الله فيك (barakAllohu fik),Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,E'tirofli til resurslari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu so'zni bugun bir jumlada eslab ko'r.
55,24-Fevral,8,Ong va odatlar,Ong va odatlar · Mahorat,Q1,Mental Models,Pareto (80/20) tamoyili,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Modelning asl sohasi (fizika/biologiya...),07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Bugun shu nuqtai nazardan bitta masalaga qara.
56,25-Fevral,8,Ong va odatlar,Ong va odatlar · Mahorat,Q1,Communication Box,Tana tili asoslari,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Ritorika klassikalari,08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Shu texnikani keyingi suhbatda sinab ko'r.
57,26-Fevral,9,Ong va odatlar,Ong va odatlar · Mahorat,Q1,AI Box,AI bilan vaqtni tejash workflowlari,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",Universitet kurslari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Bugun AI bilan bitta g'oyani brainstorming qil.
58,27-Fevral,9,Ong va odatlar,Ong va odatlar · Mahorat,Q1,Leadership Box,Ishonch — liderlik valyutasi,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Harbiy/sport/biznes case'lar,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bir mas'uliyatni ishonib topshir (delegatsiya).
59,28-Fevral,9,Ong va odatlar,Ong va odatlar · Mahorat,Q1,History Box,Beruniy — universal olim,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,E'tiborli tarixchilar,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Shu voqeadan bitta xulosani yozib qo'y.
60,1-Mart,9,Yangilanish va o'sish,Yangilanish va o'sish · Asoslar,Q1,Critical Thinking,Correlation ≠ causation,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Farnam Street / falsafa asoslari,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Bugun bitta qarama-qarshi fikrni adolatli o'qib chiq.
61,2-Mart,9,Yangilanish va o'sish,Yangilanish va o'sish · Asoslar,Q1,Technology Box,Open source g'oyasi,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Standart tashkilotlari,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Bugun bitta raqamli gigiena qadamini bajar.
62,3-Mart,9,Yangilanish va o'sish,Yangilanish va o'sish · Asoslar,Q1,Success Stories,Thomas Edison — lampochka yo'lidagi minglab urinish,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,E'tiborli jurnalistika,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Bugun bitta 'rad javob'dan qo'rqmasdan harakat qil.
63,4-Mart,9,Yangilanish va o'sish,Yangilanish va o'sish · Asoslar,Q1,Decision Making,Qaytariladigan vs qaytmas qaror (Bezos),Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Qaror fani (decision science),07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Bugun bitta kichik qarorni 24 soat sovutib ko'r.
64,5-Mart,10,Yangilanish va o'sish,Yangilanish va o'sish · Asoslar,Q1,Book Box,The Psychology of Money — boylik haqida ong,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Asl kitob + muallif intervyulari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Bugun shu g'oyani bitta qaroringda sinab ko'r.
65,6-Mart,10,Yangilanish va o'sish,Yangilanish va o'sish · Asoslar,Q1,Habits,Habit stacking — odatni odatga ulash,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",James Clear — Atomic Habits,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Bugun shu odatni 2 daqiqalik versiyada boshla.
66,7-Mart,10,Yangilanish va o'sish,Yangilanish va o'sish · Asoslar,Q1,Money Box,Aktiv vs passiv daromad,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,The Psychology of Money (Housel),07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bugun bitta keraksiz xarajatni jamg'armaga yo'naltir.
67,8-Mart,10,Yangilanish va o'sish,Yangilanish va o'sish · Chuqurlashish,Q1,Life Lessons 🎯 Mavsumiy,Ayollarning hayot va jamiyatdagi o'rni,Hurmat va minnatdorlik orqali munosabatlarni mustahkamlash.,Hikmat adabiyoti,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun hayotingdagi bir ayolga samimiy minnatdorlik bildir.
